SPECTRUM - MS
c12_1-qb.raw
FTMS - p NSI Full ms [100.00-1000.00]
Scan #: 1
RT: 1.50
m/z	Intensity	Relative	Noise

  100.0010	      0.1	    0.00	   -0.81
  100.0038	      0.1	    0.00	   -0.81
  100.0052	      0.1	    0.00	   -0.81
  100.0080	      0.4	    0.00	   -0.81
  100.0090	      0.1	    0.00	   -0.81
  100.0102	      0.2	    0.00	   -0.81
  100.0112	      0.1	    0.00	   -0.81
  100.0135	      0.1	    0.00	   -0.81
  100.0143	      0.1	    0.00	   -0.81
  100.0146	      0.1	    0.00	   -0.81
  100.0148	      0.1	    0.00	   -0.81
  100.0164	      0.1	    0.00	   -0.81
  100.0171	      0.1	    0.00	   -0.81
  100.0189	      0.2	    0.00	   -0.81
  100.0200	      0.1	    0.00	   -0.81
  100.0236	      0.2	    0.00	   -0.81
  100.0265	      0.2	    0.00	   -0.81
  100.0276	      0.2	    0.00	   -0.81
  100.0297	      0.1	    0.00	   -0.81
  100.0299	      0.1	    0.00	   -0.81
  100.0316	      0.1	    0.00	   -0.81
  100.0330	      0.1	    0.00	   -0.81
  100.0343	      0.1	    0.00	   -0.81
  100.0368	      0.1	    0.00	   -0.81
  100.0377	      0.1	    0.00	   -0.81
  100.0387	      0.1	    0.00	   -0.81
  100.0399	      0.2	    0.00	   -0.81
  100.0419	      0.1	    0.00	   -0.81
  100.0430	      0.2	    0.00	   -0.81
  100.0476	      0.3	    0.00	   -0.81
  100.0540	      0.1	    0.00	   -0.81
  100.0565	      0.1	    0.00	   -0.81
  100.0586	      0.1	    0.00	   -0.81
  100.0594	      0.1	    0.00	   -0.81
  100.0596	      0.1	    0.00	   -0.81
  100.0599	      0.1	    0.00	   -0.81
  100.0606	      0.1	    0.00	   -0.81
  100.0622	      0.1	    0.00	   -0.81
  100.0655	      0.3	    0.00	   -0.81
  100.0658	      0.2	    0.00	   -0.81
  100.0661	      0.3	    0.00	   -0.81
  100.0670	      0.2	    0.00	   -0.81
  100.0683	      0.1	    0.00	   -0.81
  100.0722	      0.2	    0.00	   -0.81
  100.0726	      0.1	    0.00	   -0.81
  100.0731	      0.1	    0.00	   -0.81
  100.0742	      0.1	    0.00	   -0.81
  100.0771	      0.2	    0.00	   -0.81
  100.0782	      0.1	    0.00	   -0.81
  100.0795	      0.3	    0.00	   -0.81
  100.0822	      0.2	    0.00	   -0.81
  100.0844	      0.1	    0.00	   -0.81
  100.0859	      0.1	    0.00	   -0.81
  100.0872	      0.1	    0.00	   -0.81
  100.0878	      0.2	    0.00	   -0.81
  100.0908	      0.1	    0.00	   -0.81
  100.0920	      0.1	    0.00	   -0.81
  100.0935	      0.1	    0.00	   -0.81
  100.0949	      0.2	    0.00	   -0.81
  100.0990	      0.1	    0.00	   -0.81
  100.1005	      0.1	    0.00	   -0.81
  100.1021	      0.2	    0.00	   -0.81
  100.1037	      0.2	    0.00	   -0.81
  100.1046	      0.1	    0.00	   -0.81
  100.1048	      0.1	    0.00	   -0.81
  100.1051	      0.1	    0.00	   -0.81
  100.1057	      0.1	    0.00	   -0.81
  100.1068	      0.1	    0.00	   -0.81
  100.1075	      0.1	    0.00	   -0.81
  100.1111	      0.1	    0.00	   -0.81
  100.1128	      0.1	    0.00	   -0.81
  100.1137	      0.1	    0.00	   -0.81
  100.1198	      0.2	    0.00	   -0.81
  100.1214	      0.2	    0.00	   -0.81
  100.1226	      0.1	    0.00	   -0.81
  100.1233	      0.1	    0.00	   -0.81
  100.1242	      0.2	    0.00	   -0.81
  100.1246	      0.2	    0.00	   -0.81
  100.1256	      0.2	    0.00	   -0.81
  100.1279	      0.1	    0.00	   -0.81
  100.1290	      0.1	    0.00	   -0.81
  100.1322	      0.1	    0.00	   -0.81
  100.1331	      0.1	    0.00	   -0.81
  100.1351	      0.1	    0.00	   -0.81
  100.1361	      0.3	    0.00	   -0.81
  100.1375	      0.1	    0.00	   -0.81
  100.1390	      0.1	    0.00	   -0.81
  100.1399	      0.1	    0.00	   -0.81
  100.1411	      0.1	    0.00	   -0.81
  100.1418	      0.1	    0.00	   -0.81
  100.1433	      0.1	    0.00	   -0.81
  100.1449	      0.1	    0.00	   -0.81
  100.1458	      0.1	    0.00	   -0.81
  100.1476	      0.1	    0.00	   -0.81
  100.1481	      0.2	    0.00	   -0.81
  100.1505	      0.1	    0.00	   -0.81
  100.1520	      0.1	    0.00	   -0.81
  100.1529	      0.1	    0.00	   -0.81
  100.1554	      0.2	    0.00	   -0.81
  100.1562	      0.2	    0.00	   -0.81
  100.1572	      0.1	    0.00	   -0.81
  100.1581	      0.1	    0.00	   -0.81
  100.1598	      0.1	    0.00	   -0.81
